기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A350,D. Access Doors,Opening of the thrust reverser cowls,Ref. MP A350-A-78-3X-XX-00ZZZ-398Z-A
A350,D. Access Doors,Closing of the thrust reverser cowls,Ref. MP A350-A-78-3X-XX-01ZZZ-398Z-A
A350,D. Access Doors,Opening of the APU doors,Ref. MP A350-A-52-41-74-00ZZZ-132Z-A
A350,D. Access Doors,Closing of the APU doors,Ref. MP A350-A-52-41-74-00ZZZ-133Z-A
A350,E. Fasteners,Acceptance criteria for belly fairing access-panels,Ref. MP A350-A-53-35-XX-00ZZZ-282Z-A
A350,E. Fasteners,Acceptance criteria for pylon fairing panels,Ref. MP A350-A-54-5X-XX-00ZZZ-398Z-A
A350,E. Fasteners,Acceptance criteria for cargo-compartment lining panels,Ref. MP A350-A-50-13-XX-00ZZZ-282Z-A
A350,E. Fasteners,Acceptance criteria for fan-cowl door components,Ref. MP A350-A-71-13-XX-00ZZZ-310Z-A
A350,E. Fasteners,Acceptance criteria for electrical harnesses and the cables,Ref. MP A350-A-71-5X-XX-00ZZZ-310Z-A
A350,E. Fasteners,Acceptance criteria for the thrust reverser system,Ref. MP A350-A-78-3X-XX-00ZZZ-310Z-A
A350,E. Fasteners,Acceptance criteria for the thrust-reverser deployment mechanism,Ref. MP A350-A-78-35-XX-00ZZZ-310Z-A
A350,F. Antennas,"Location of the Antennas, the Probes and the Sensors","Ref. Fig. Location of the Antennas, the Probes and the Sensors"
A350,F. Antennas,Location of the External Lights,Ref. Fig. Location of the External Lights
A350,G/H/I. Servicing,Filling of the hydraulic fluid reservoir with the hydraulic ground filling-equipment and the hydraulic ground power-cart,Ref. MP A350-A-29-14-XX-08ZZZ-210Z-A
A350,G/H/I. Servicing,Filling of the hydraulic fluid reservoir with the hydraulic ground filling-equipment and the hydraulic ground power-cart,Ref. MP A350-A-29-14-XX-0EZZZ-210Z-A
A350,G/H/I. Servicing,Filling of the hydraulic fluid reservoir with the hand pump,Ref. MP A350-A-29-14-XX-09ZZZ-210Z-A
A350,G/H/I. Servicing,Filling of the hydraulic fluid reservoir with the hand pump,Ref. MP A350-A-29-14-XX-0AZZZ-210Z-A
A350,G/H/I. Servicing,Check of the hydraulic-fluid reservoir level on the Ground Service Panel (GSP),Ref. MP A350-A-29-14-XX-00ZZZ-310Z-A
A350,G/H/I. Servicing,Check of the hydraulic-fluid reservoir level on the visual level indicator,Ref. MP A350-A-29-14-XX-01ZZZ-310Z-A
A350,G/H/I. Servicing,General rules for the removal and installation of the hydraulic system,Ref. MP A350-A-29-XX-XX-02ZZZ-170Z-A
A350,G/H/I. Servicing,Pressure check of the hydraulic brake accumulator of the alternate braking,Ref. MP A350-A-32-43-XX-00ZZZ-281Z-A
A350,G/H/I. Servicing,Pressure check of the hydraulic brake accumulator of the alternate braking,Ref. MP A350-A-32-43-XX-01ZZZ-281Z-A
A350,G/H/I. Servicing,"Inspection of the wheels, tires and brakes",Ref. MP A350-A-32-41-XX-01ZZZ-310Z-A
A350,G/H/I. Servicing,Inspection of the brakes heat-pack wear-indicator,Ref. MP A350-A-32-41-XX-00ZZZ-310Z-A
A350,G/H/I. Servicing,Filling of the shock struts for the NLG,Ref. MP A350-A-32-XX-XX-08ZZZ-200Z-A
A350,G/H/I. Servicing,Filling of the shock struts for the NLG,Ref. MP A350-A-32-XX-XX-0HZZZ-200Z-A
A350,G/H/I. Servicing,Filling of the shock struts for the MLG,Ref. MP A350-A-32-XX-XX-05ZZZ-200Z-A
A350,G/H/I. Servicing,Filling of the shock struts for the MLG,Ref. MP A350-A-32-XX-XX-0GZZZ-200Z-A
A350,G/H/I. Servicing,Visual inspection of the NLG shock-strut,Ref. MP A350-A-32-21-XX-00ZZZ-310Z-A
